name,count,gender
evič,1,m
(eigenname),2,m
(großvatersname),1,m
(mittelname),1,w
(vatersname),1,m
a,1,m
a-jay-peter,1,m
a.,1,m
aaban,1,m
aabis,1,m
aad-bo,1,m
aada,1,w
aadam,1,m
aadesh,1,m
aadhya,1,w
aahliya,1,w
aaiyah,1,w
aaiyscha,1,w
aakash,1,m
aakhuma'at,1,m
aala,1,w
aalay,1,m
aalia,4,w
aaliah-shaynne,1,w
aalias,1,m
aalijah,1,w
aalima,1,w
aalisha,3,w
aalissia,1,w
aaliyah,94,w
aaliyah-elaine,1,w
aaliyah-joleen,1,w
aaliyah-leticia,1,w
aaliyah-maribel,1,w
aaliyah-marie,1,w
aaliyzee,1,w
aalt,1,m
aalyan,1,m
aalyiah,1,w
aamir,1,m
aamu,1,w
aaran,2,m
aarathan,1,m
aarav,2,m
aaren-tapani,1,m
aarian,2,m
aariz,2,m
aarne,1,m
aarohi,2,w
aaron,430,m
aaron-alexander,1,m
aaron-dan,1,m
aaron-dean,1,m
aaron-delain,1,m
aaron-elias,1,m
aaron-jason,1,m
aaron-jerome,1,m
aaron-john,1,m
aaron-leonidas,1,m
aaron-marlic,1,m
aaron-marvin,1,m
aaron-sean,1,m
aart,1,m
aarun,1,m
aaruran,1,m
aaruyan,1,m
aaryaa,1,w
aaryan,1,m
aarón,2,m
aasem,1,m
aashinya,1,w
aassem,1,m
aasya,1,w
aatami,1,m
aathav,1,m
aathi,1,m
aathira,1,w
aato,1,m
aava,2,w
aaya,1,w
aayam,1,m
aayan,1,m
aayden,1,m
aayed,1,m
aayra,1,w
aba,2,w
ababakar,1,m
abalfazl,1,m
abanda,1,m
abaris,1,m
abas,1,m
abasin,1,m
abass,1,m
abayomi,1,m
abaz,2,m
abaï,1,m
abbas,46,m
abbass,1,m
abbeygail,1,w
abbie,1,w
abbigail,2,w
abbondio,1,m
abby,25,w
abby-lou,1,w
abby-noelle,1,w
abbygail,3,w
abbygale,3,w
abbygayle,1,w
abd,8,m
abd-allah,1,m
abd-elrahmen,1,w
abd-rahim,1,m
abd-el-kader,1,m
abdah,1,w
abdal,1,m
abdalaziz,2,w
abdalkarim,1,m
abdalla,2,m
abdallah,23,m
abdalrahim,1,m
abdalrhman,1,m
abdalwhab,1,m
abdarahman,1,m
abdarrahman,2,m
abddulrrhman,1,m
abde,1,m
abdel,14,w
abdel-fattah,1,m
abdel-karim,1,m
abdel-malek,1,m
abdel-rahman,1,m
abdela,1,m
abdelalim,1,m
abdelatif,1,m
abdelaziz,3,m
abdelfatah,1,m
abdelhadi,2,m
abdelhakim,1,m
abdelhamid,2,m
abdelkader,3,m
abdelkarim,4,m
abdelmadjed,1,m
abdelmalek,1,m
abdelmalik,1,m
abdelmaoula-yacoub,1,m
abdelmenem,2,m
abdelmouhaimen,1,m
abdelrady,1,m
abdelrahim,2,m
abdelrahman,8,m
abdelrahmen,1,m
abdelsalam,1,m
abdelwahab,4,w
abderahmane,1,m
abderrahman,1,m
abderrahmane,1,m
abderrezak,1,m
abdes-samet,1,m
abdi,3,m
abdias,1,m
abdilamit,1,m
abdillah,2,m
abdirahman,1,m
abdirashid,1,m
abdiwasa,1,m
abdo,4,m
abdollah,1,m
abdoul-hamid,1,m
abdoul-salam,1,m
abdoulaye,5,m
abdourahamane,1,m
abdourahim,1,m
abdourahman,1,m
abdouramane,1,m
abdu,2,w
abduallah,1,m
abduhlrahman,1,m
abdul,45,m
abdul-aziz,3,m
abdul-halim,1,m
abdul-hamid,1,m
abdul-jaleel,1,m
abdul-kerim,3,m
abdul-khalim,1,m
abdul-maleeq,1,m
abdul-malik,2,m
abdul-muslim,1,m
abdul-rahim,1,m
abdul-rahman,8,m
abdul-sabur,1,m
abdul-wahab,1,m
abdula,2,m
abdulaevna,1,w
abdulah,2,m
abdulatif,1,w
abdulazeez,1,m
abdulaziz,5,m
abdulbasit,1,m
abdulcabbar,1,m
abdulhaadi,1,m
abdulhadi,1,m
abdulhakim,3,m
abdulhameed,1,m
abdulhamid,4,w
abdulhamid-cebrail,1,m
abdulhannan,1,m
abdulhaq,2,m
abdulhussein,1,m
abdulkadir,9,m
abdulkarem,2,m
abdulkarim,4,m
abdulkebir,1,m
abdulkerim,3,m
abdulkhalim,1,m
abdull,2,m
abdulla,2,m
abdullah,102,m
abdullahi,1,m
abdullatif,1,m
abdullkadir,1,m
abdullmü,1,m
abdulloh,1,m
abdullrazak,1,m
abdullsamad,1,m
abdulmajid,1,m
abdulmalek,3,m
abdulmalik,3,m
abdulmalk,1,m
abdulmecid,1,m
abdulmecid-han,1,m
abdulmelik,1,m
abdulmumin,1,m
abdulraheem,1,m
abdulrahman,18,m
abdulraman,1,m
abdulrashid,1,m
abdulsalam,1,w
abdulsamet,1,m
abdulvahaab,1,m
abdulwahhab,1,m
abdulwali,1,m
abdur,1,m
abdur-rahim,1,m
abdurahim,2,m
abdurahman,5,m
abdurasulovna,1,w
abdurrachman,1,m
abdurrahim,4,m
abdurrahman,30,m
abdurrahmen,1,m
abdusalam,2,m
abdussalam,3,w
abdussamed,1,m
abdülhalık,1,m
abdülhamid,2,m
abdülkadir,1,m
abdülkerim,1,m
abdüssamed,1,m
abe,1,m
abebe,1,m
abed,14,m
abed-el,1,m
abedalrahman,1,m
abedeen,1,m
abedelrahman,1,m
abedin,1,m
abeera,1,w
abegnon,1,m
abeid,1,m
abeku,1,m
abel,18,m
abelardo,1,m
abena,10,w
abeni,2,w
abhi,2,m
abias,1,m
abib,1,m
abiba,1,w
abid,6,m
abide,1,w
abidin,4,m
abidina,1,m
abiel,1,m
abiethe,1,m
abieyuwa,1,w
abigaela,1,w
abigail,44,w
abigail-jamie,1,w
abigaila,1,w
abigaile,1,w
abigale,1,w
abikaede,1,w
abiodun,1,m
abiola,2,w
abir,4,w
abishaa,1,w
abla,1,w
abo,2,m
aboalgasem,1,w
abogua,1,w
abokuma,1,w
abolfazl,1,m
aboluwarin,1,m
abongwa,1,m
abotarye,1,m
abou,1,m
aboubacar,2,m
aboubakar,2,m
aboulgasim,1,m
abounchi,1,w
abraamovič,1,m
abrafi,1,w
abraham,18,m
abralinn,1,w
abram,2,m
abrar,3,w
abril,1,m
abrish,1,w
abrorovna,1,w
absame,1,m
abtin,1,m
abtula,1,w
abu,7,m
abu-bakar,2,m
abu-baker,1,m
abu-bakr,3,m
abu-supianovič,1,m
abubacarr,1,m
abubakar,6,m
abubaker,2,m
abubakr,2,m
abubker,2,m
abubkr,1,m
abulfaz,1,m
abulgasem,1,w
abunchi,1,w
abundance,1,w
aburajkalki,1,m
abuzar,1,m
abuzer,1,m
aby,3,w
abyaz,1,m
abygail,1,w
aca,1,m
acaimo,1,m
ace,5,m
acele,1,w
acelya,12,w
acelya-melissa,1,w
achampong,1,m
acheampong,1,m
acheaw,1,m
achelia,1,w
acher,1,m
achere,1,w
achi,1,w
achieng,3,w
achilleas,6,m
achilles,10,m
achilleus,1,m
achillis,1,m
achim,13,m
achinora,1,w
achira,1,w
achmad,1,m
achmed,1,m
achmet,1,m
acun,3,m
ada,228,w
ada-marleen,1,w
ada-mert,1,m
ada-miray,1,w
adadé,1,m
adaeze,1,w
adah,2,w
adahmunere,1,m
adahy,1,m
adaja,1,w
adal,2,m
adala,1,w
adalaisa,1,w
adalbert,5,m
adalet,2,w
adali,1,w
adalia,2,w
adalie,1,w
adalina,2,w
adaline,1,w
adalya,1,w
adam,557,m
adam-amin,1,m
adam-elyas,1,m
adam-khadimuddin,1,m
adama,2,w
adamma,2,w
adamou,1,m
adamovna,1,w
adams,1,m
adanna,4,w
adannaya,1,w
adar,13,m
adar-yusuf,1,m
adarcan,1,m
aday,6,m
adburrahman,1,m
adda,1,m
addis,1,m
addison,2,m
addney,1,m
adea,2,w
adebayo,2,m
adebiaye,1,m
adebisi,2,w
adebor,1,m
adebowale,1,m
adebukola,1,w
adechina-adelèyê,1,m
adedamola,3,w
adeel,2,m
adeem,1,m
adegbemile,1,w
adegoke,2,m
adejola,1,m
adekunle,1,m
adel,22,w
adela,18,w
adelaida,2,w
adelaide,4,w
adelajda,1,w
adelana,1,w
adelay,1,w
adele,115,w
adelena,1,w
adeleye,2,m
adelgund,1,w
adelgunde,1,w
adelgundis,1,w
adelheid,9,w
adelheit,1,w
adelia,9,w
adelin,1,m
adelina,40,w
adelina-sofie,1,w
adelinde,1,w
adeline,13,w
adelio,1,m
adelisa,7,w
adelisa-angelina,1,w
adell,1,m
adella,1,w
adelle,3,w
adelma,1,w
adelmo,1,m
adelphina,1,w
adelya,3,w
adelè,1,w
adelė,1,w
adem,64,m
adem-aslan,1,m
adema,1,w
ademi,2,m
ademidun,1,w
ademisola,1,w
ademola,2,m
ademov,2,m
aden,5,m
adenike,4,w
adeodato,1,m
adeodatus,1,w
adeola,2,m
adepeju,1,m
aderayo,1,w
aderito,1,m
aderonke,1,w
aderotimi,1,m
adesewa,2,w
adesina,1,m
adesola,1,w
adesuwa,3,w
adetokunbo,2,m
adetomilola,1,w
adetoni,1,w
adetutu,1,w
adewale,1,m
adewumi,1,m
adewumin,1,m
adeyemi,2,w
adeyika,1,m
adham,3,m
adhim,1,m
adhira,1,w
adi,4,m
adia,2,w
adian,2,m
adib,3,m
adiba,1,w
adice,1,w
adidja,1,w
adikavi,1,m
adil,27,m
adil-kurteś,1,m
adila,2,w
adilcan,1,m
adile,10,w
adile-nur,1,w
adilia,1,w
adin,13,m
adina,19,w
adina-joline,1,w
adinanova,1,w
adine,1,w
adion,1,m
adior,1,m
adira,1,w
adirw,1,m
adis,7,m
adisa,4,w
adissa,1,w
aditi,1,w
aditya,2,m
adiyan,1,m
adiza,1,w
adja,2,w
adjara,1,w
adjei,2,m
adjete,1,m
adjoa,1,w
adjoumani,1,m
adjovi,1,w
adjua,1,w
adla,2,w
adley,1,m
adlon,1,m
admas,1,w
admir,2,m
admira,1,w
adna,2,w
adnan,40,m
adnana,1,w
adnel,1,m
adnit,2,m
adnnan,1,m
adolf,7,m
adom,2,m
adoma,2,w
adomako,1,w
adomas,1,m
adon,2,m
adonai,1,m
adonias,1,m
adonis,5,m
ador,1,m
adora,1,w
adorian,1,m
adou,1,m
adouni,1,w
adowa,1,w
adreia,1,w
adria,1,w
adriaan,3,m
adrian,538,m
adrian-arda,1,m
adrian-denis,1,m
adrian-erijon,1,m
adrian-leo,1,m
adrian-leon,1,m
adrian-simon,1,m
adriana,70,w
adriana-stephania,1,w
adriane,1,w
adrianna,7,w
adriano,44,m
adrianov,1,m
adriatik,1,m
adrie,1,m
adriel,3,m
adrielle,1,m
adrien,6,m
adrienn,2,w
adrienne,4,w
adrijan,13,m
adrijana,18,w
adrijana-alara,1,w
adrijano,3,m
adrijus,1,m
adrin,1,m
adrina,1,w
adriyana,1,w
adrián,5,m
adryan,1,m
adryn,1,m
adu,5,m
adubea,1,w
adubia,1,w
adulrahman,1,m
adunis,1,m
aduoa,1,w
adussalam,1,w
adututu,1,w
adutwumwaa,1,w
advait,2,m
advan,1,m
advana,1,w
advit,1,m
adwoa,6,w
ady,2,m
adya,1,w
adyan,2,m
adàm,1,m
adá,1,w
adália,1,w
adán,1,m
adão,1,m
adèle,3,w
adé,1,m
adél,1,w
adéle,1,w
adélia,2,w
adénike,1,w
adı-güzel,1,m
aebel,1,m
aedan,2,m
aeden-gideon,1,m
aegidius,1,m
aelia,1,w
aelius,1,m
aelle,1,w
aemilia,3,w
aemilian,1,m
aemilie,1,w
aemilius,2,m
aemin,1,m
aenaeas,1,m
aeneas,19,m
aeneo,1,m
aengus,1,m
aenna,8,w
aenne,7,w
aenny-ellen,1,w
aeon,1,m
aeri,1,w
aeryn,1,w
aerys,1,w
aeshoka,1,m
aeternum,1,m
aetolia,1,w
aeya,1,w
afaeti,1,w
afaf,1,w
afan,1,m
afanasy,1,m
afanyuy,1,m
afeefah,1,w
afeni,4,w
afet,1,m
afetorgbor,1,w
afia,5,w
afiangbe-oghosa,1,w
afif,3,w
afife,2,w
afize,1,w
aflah,1,w
afna,1,w
afnan,3,m
afoakwah,1,m
afodour,1,m
afoma,1,w
afonia,1,w
afonso,3,m
afra,4,w
afraha,1,w
afrahe,1,w
africa,1,w
afriyie,2,w
afroditi,1,w
afseen,1,w
afua,3,w
afua-asare,1,w
afura,1,m
afzem,1,w
aga,1,m
agafon,1,m
agah,1,m
agam,1,m
aganeta,1,w
agapi,1,w
agar,1,m
agastya,1,m
agata,12,w
agatha,10,w
agathe,9,w
agatorekimana,1,w
agbenyo,1,m
agbonmwanre,1,w
agbor,1,w
agbowmwanre,1,w
ageborn,1,m
agezey,1,w
aggeliki,1,w
aggelos,3,m
agha,1,m
aghedo,1,m
aghengnui,1,w
aghun,1,w
agi,1,m
agien,1,m
agim,1,m
agir,1,m
agit,9,m
aglaia,8,w
aglaie,1,w
aglaja,2,w
aglaya,2,w
agnes,39,w
agnesa,2,w
agnese,3,w
agneta,1,w
agnetha,2,w
agnia,3,w
agnieszka,6,w
agnime,1,w
agnya,1,w
agnès,4,w
agon,3,m
agona,1,w
agostinho,1,m
agostino,2,m
agrin,1,w
agua,2,w
aguibou,1,m
agung,1,m
agus,1,m
agustin,3,m
agustín,1,m
agutu,2,m
aguzey,1,w
agya,1,m
agyakwaa,1,w
agyapa,1,w
agyarewah,1,w
agyeiwaa,1,w
agyeman,1,m
agyeman-dua,1,w
agyemang,1,w
agyla,1,w
ahab,2,m
ahad,1,w
aharon,1,m
ahdia,1,w
ahed,1,w
ahil,1,m
ahinora,1,w
ahir,1,m
ahla,1,w
ahlam,1,w
ahlas,1,m
ahlehoff,1,m
ahlija,1,w
ahlrich,1,m
ahmad,210,m
ahmadou,1,m
ahmadovič,1,m
ahmed,183,m
ahmed-alico,1,m
ahmed-cherif,1,m
ahmed-ethem,1,m
ahmedova,4,w
ahmedovič,2,m
ahmedovna,3,w
ahmet,130,m
ahmet-adnan,1,m
ahmet-arif,1,m
ahmetcan,1,m
ahmethan,1,m
ahmmad,1,m
ahnaf,1,m
ahorangi,1,w
ahren,1,m
ahrona,1,w
ahsen,7,w
ahsennur,1,w
ahu,2,w
ahunna,1,w
ahwelat,1,m
ahyaan,1,m
ai,4,w
ai'xin,1,w
ai-ling,1,w
ai-linh,1,w
aiacha,1,w
aiala,1,w
aibekovna,1,w
aibel,1,m
aibhlinn,1,w
aicha,14,w
aichatou,1,w
aick,1,m
aid,3,m
aida,14,w
aidan,30,m
aidan-connor,1,m
aidan-jammal,1,m
aidan-maximilian,1,m
aidan-taylor,1,m
aidano,1,m
aidaros,2,m
aideel,1,m
aiden,65,m
aiden-alessio,1,m
aiden-jamil,1,m
aiden-philipp,1,m
aiden-terrell,1,m
aidin,1,m
