vorname,anzahl,geschlecht,position
Leon,32,m,1
Noah,31,m,1
Marie,29,w,2
Sophie,29,w,2
Emma,26,w,1
Adam,26,m,1
Leo,26,m,1
Emilia,24,w,1
Lukas,24,m,1
Mia,23,w,1
Anton,20,m,1
Liam,20,m,1
Mila,18,w,1
Ali,18,m,1
Levi,18,m,1
Luca,18,m,1
Oskar,18,m,1
Theo,18,m,1
Elisabeth,18,w,2
Anna,17,w,1
David,17,m,1
Emil,17,m,1
Louis,17,m,1
Ella,16,w,1
Tilda,16,w,1
Elias,16,m,1
Felix,16,m,1
Paul,16,m,1
Maria,16,w,2
Leni,15,w,1
Linus,15,m,1
Alexander,15,m,2
Olivia,14,w,1
Bruno,14,m,1
Henry,14,m,1
Jakob,14,m,1
Jonathan,14,m,1
Karl,14,m,1
Omar,14,m,1
Emil,14,m,2
Charlotte,13,w,1
Frida,13,w,1
Helena,13,w,1
Ida,13,w,1
Lea,13,w,1
Lina,13,w,1
Lisa,13,w,1
Maria,13,w,1
Mina,13,w,1
Sophia,13,w,1
Sophie,13,w,1
Victoria,13,w,1
Moritz,13,m,1
Maximilian,13,m,2
Clara,12,w,1
Lara,12,w,1
Lena,12,w,1
Mika,12,m,1
Milan,12,m,1
Theodor,12,m,1
Charlotte,12,w,2
Friedrich,12,m,2
Elisa,11,w,1
Elisabeth,11,w,1
Frieda,11,w,1
Hanna,11,w,1
Hannah,11,w,1
Carlo,11,m,1
Henri,11,m,1
Milo,11,m,1
Alva,10,w,1
Ava,10,w,1
Cleo,10,w,1
Eva,10,w,1
Leyla,10,w,1
Mariam,10,w,1
Mira,10,w,1
Carl,10,m,1
Lio,10,m,1
Rio,10,m,1
Luise,10,w,2
Elias,10,m,2
Levi,10,m,2
Alma,9,w,1
Amelie,9,w,1
Ayla,9,w,1
Johanna,9,w,1
Julia,9,w,1
Paula,9,w,1
Sofia,9,w,1
Alexander,9,m,1
Frederick,9,m,1
Johann,9,m,1
Matteo,9,m,1
Max,9,m,1
Maximilian,9,m,1
Mohammad,9,m,1
